fecha,cierre
2018-03-31,6928.62
2018-04-01,6813.52
2018-04-02,7052.76
2018-04-03,7416.27
2018-04-04,6799.95
2018-04-05,6771.69
2018-04-06,6618.33
2018-04-07,6904.90
2018-04-08,7027.26
2018-04-09,6780.10
2018-04-10,6835.67
2018-04-11,6940.94
2018-04-12,7923.78
2018-04-13,7896.92
2018-04-14,8000.41
2018-04-15,8354.22
2018-04-16,8048.15
2018-04-17,7890.87
2018-04-18,8172.84
2018-04-19,8271.31
2018-04-20,8861.00
2018-04-21,8920.71
2018-04-22,8789.96
2018-04-23,8946.95
2018-04-24,9648.00
2018-04-25,8864.99
2018-04-26,9274.48
2018-04-27,8921.43
2018-04-28,9345.11
2018-04-29,9393.99
2018-04-30,9242.17
2018-05-01,9066.90
2018-05-02,9222.00
2018-05-03,9732.43
2018-05-04,9696.57
2018-05-05,9823.28
2018-05-06,9623.54
2018-05-07,9359.52
2018-05-08,9167.69
2018-05-09,9308.49
2018-05-10,9020.99
2018-05-11,8411.42
